Symbol_HGNC	GenePanel
BEAN1	OMIM (AD)
BECN1	ANEURYSM (XLR)
BEST1	BLIND (AD);OMIM (AD)
BFSP1	BLIND (AR);OMIM (AD,AR);PCS (AR)
BFSP2	BLIND (AD);OMIM (AD);PCS (AD,AR)
BGN	ANEURYSM (AD);HART (XL);LENGTE (XL);OMIM (XL)
BHLHA9	LENGTE (AD);OMIM (AR);PCS (AR)
BICC1	NIER (AD)
BICD2	HMSN (AD);OMIM (AD);SPIER (AD)
BIN1	AKI (AR);OMIM (AR);PCS (AR);SPIER (AR)
BLK	IMMUUN (AD);OMIM (AD)
BLM	DERM (AR);IMMUUN (AR);MR (AR);OMIM (AR);PCS (AR);TUMOR (AR)
BLNK	IMMUUN (AR);OMIM (AR);PCS (AR)
BLOC1S3	BLIND (AR);DERM (AR);HEMOS (AR);OMIM (AR);PCS (AR)
BLOC1S6	BLIND (AR);DERM (AR);HEMOS (AR);IMMUUN (AR);OMIM (AR);PCS (AR)
BLVRA	LEVER (AR/AD);METAB (AR);OMIM (AD,AR);PCS (AR)
BMP1	LENGTE (AR);OMIM (AR);PCS (AR)
BMP15	OMIM (XL)
BMP2	CFA (AD);LENGTE (AD);METAB (AR);OMIM (AD)
BMP4	BLIND (AD);CFA (AD);DOOF (AD);OMIM (AD)
BMP6	IJZER (AR,AD)
BMPER	LENGTE (AR);OMIM (AR);PCS (AR)
BMPR1A	ANEURYSM (XLD);OMIM (AD);TUMOR (AD)
BMPR1B	LENGTE (AR,AD);OMIM (AD,AR);PCS (AR)
BMPR2	OMIM (AD)
BMS1	DERM (AD/AR);OMIM (AD)
BNC2	OMIM (AD)
BNIP3	ANEURYSM (AD)
BOLA1	OXPHOS (AR)
BOLA2	OXPHOS (AR)
BOLA3	EPI (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
BPGM	METAB (AR);OMIM (AR);PCS (AR)
BPTF	MR (AD);OMIM (AD)
BRAF	CHD (AD);DERM (AD);HART (AD);HEMOS (AD);LENGTE (AD);MR (AD);OMIM (AD);RAS (AD);TUMOR (AD)
BRAT1	EPI (AR);MR (AR);OMIM (AR);PCS (AR)
BRCA1	BMF (AD);BRSTKNK (AD);OMIM (AR);PCS (AR);TUMOR (AD)
BRCA2	BMF (ADAR);BRSTKNK (AD);OMIM (UK,AD,AR,XL,YL);PCS (AR);SHHM (AD);TUMOR (AD)
BRDT	OMIM (AR)
BRF1	LENGTE (AR);MR (AR);OMIM (AR);PCS (AR)
BRIP1	BMF (ADAR);BRSTKNK (AD);DERM (AR);OMIM (UK,AD,AR,XL,YL);TUMOR (AD)
BRPF1	MR (AD);OMIM (AD)
BRSK2	MR (AD)
BRWD3	MR (XL);OMIM (XLR)
BSCL2	BEWEGING (AD);DERM (AR);HART (AR);HMSN (AD);MR (AD,AR);OMIM (AD,AR);PCS (AR)
BSND	DOOF (AR);NIER (AR);OMIM (AR);PCS (AR)
BTD	DERM (AR);EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
BTK	IMMUUN (XL);LENGTE (XLR);OMIM (XLR)
BTRC	LENGTE (AD)
BUB1	OMIM (UK,AD,AR,XL,YL);TUMOR (AD)
BUB1B	MR (AD,AR);OMIM (AR);PCS (AR);TUMOR (AD)
BUB3	TUMOR (AD)
BVES	HART (AR);OMIM (AR);PCS (AR)
C11orf80	OMIM (UK,AD,AR,XL,YL)
C12orf4	MR (AR);OMIM (AR)
C12orf57	MR (AR);OMIM (AR);PCS (AR)
C12orf65	BEWEGING (AR);BLIND (AR);HMSN (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
C15orf41	IJZER (AR);OMIM (AR);PCS (AR)
C19orf12	BEWEGING (AR);BLIND (AR);OMIM (AD,AR);OXPHOS (AR);PARK (AR);PCS (AR)
C1GALT1C1	METAB (AR);OMIM (UK,AD,AR,XL,YL)
C1QA	DERM (AR);IMMUUN (AR);OMIM (AR);PCS (AR)
C1QB	DERM (AR);IMMUUN (AR);OMIM (AR);PCS (AR)
C1QBP	OMIM (AR);OXPHOS (AR);PCS (AR)
C1QC	DERM (AR);IMMUUN (AR);OMIM (AR);PCS (AR)
C1QTNF5	BLIND (AD);OMIM (AD)
C1R	IMMUUN (AR);OMIM (AD)
C1S	IMMUUN (AR);OMIM (AD);PCS (AR)
C2	IMMUUN (AR);OMIM (AR);PCS (AR)
C2CD3	CILIO (AR);DERM (AR);MR (AR);OMIM (AR);PCS (AR)
C3	HEMOS (AD);IMMUUN (AR);NIER (AD);OMIM (AR);PCS (AR)
C4A	OMIM (AR);PCS (AR)
C4B	OMIM (UK,AD,AR,XL,YL);PCS (AR)
C5	IMMUUN (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
C6	IMMUUN (AR);OMIM (UK,AD,AR,XL,YL)
C7	IMMUUN (AR);OMIM (UK,AD,AR,XL,YL)
C8A	IMMUUN (AR);OMIM (AR);PCS (AR)
C8B	IMMUUN (AR);OMIM (AR);PCS (AR)
C8G	IMMUUN (AR)
C8orf37	BLIND (AR);CILIO (AR);OMIM (AR);PCS (AR)
C9	IMMUUN (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
C9orf72	OMIM (AD)
CA12	OMIM (AR);PCS (AR)
CA2	DERM (AR);IMMUUN (AR);LENGTE (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
CA4	BLIND (AD);OMIM (AD)
CA5A	METAB (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
CA8	BEWEGING (AR);MR (AR);OMIM (AR);PCS (AR)
CABP2	DOOF (AR);OMIM (AR);PCS (AR)
CABP4	BLIND (AR);OMIM (AR);PCS (AR)
CACNA1A	BEWEGING (AD);EPI (AD);MR (AD);OMIM (AD)
CACNA1B	MR (AR);OMIM (AR);PCS (AR)
CACNA1C	HART (AD);MR (AD);OMIM (AD)
CACNA1D	DOOF (AR);HART (AR);MR (AD);OMIM (AD,AR);PCS (AR)
CACNA1E	BEWEGING (AD);EPI (AD);MR (AD);OMIM (AD)
CACNA1F	BLIND (XL);OMIM (XL)
CACNA1G	BEWEGING (AD);MR (AD);OMIM (AD)
CACNA1H	NIER (AD);OMIM (AD)
CACNA1S	OMIM (AD);SPIER (AD)
CACNA2D1	HART (AD)
CACNA2D2	EPI (AR);OMIM (AR)
CACNA2D4	BLIND (AR);OMIM (AR);PCS (AR)
CACNB2	HART (AD);OMIM (UK,AD,AR,XL,YL)
CACNB4	BEWEGING (AD);EPI (AD);OMIM (AD)
CACNG2	OMIM (AD)
CAD	EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
CALM1	HART (AD);OMIM (AD)
CALM2	HART (AD);OMIM (AD)
CALM3	HART (AD)
CALR	HEMOS (AR/AD);IJZER (-);OMIM (UK,AD,AR,XL,YL)
CAMK2A	MR (AD);OMIM (AD,AR)
CAMK2B	MR (AD);OMIM (AD)
CAMK2G	MR (AD);OMIM (AD)
CAMTA1	BEWEGING (AD);MR (AD);OMIM (AD)
CANT1	LENGTE (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
CAPN1	BEWEGING (AR);OMIM (AR);PCS (AR)
CAPN10	PCS (AR)
CAPN12	DERM (AR)
CAPN3	OMIM (AD,AR);PCS (AR);SPIER (AR)
CAPN5	BLIND (AD);OMIM (AD)
CARD11	IMMUUN (AD,AR);OMIM (AD,AR);PCS (AR);TUMOR (AD)
CARD14	DERM (AD);IMMUUN (AD);OMIM (AD)
CARD9	DERM (AR);IMMUUN (AR);OMIM (AR);PCS (AR)
CARMIL2	DERM (AR);IMMUUN (AR);OMIM (AR)
CARS2	MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
CASK	EPI (XL);MR (XLD);OMIM (XLD)
CASP10	IMMUUN (AD);OMIM (AD)
CASP14	DERM (AR);OMIM (AR);PCS (AR)
CASP8	IMMUUN (AR);OMIM (AR);PCS (AR)
CASQ1	OMIM (AD);SPIER (AD)
CASQ2	HART (AR);OMIM (AR);PCS (AR)
CASR	LENGTE (AD,AR);NIER (AD);OMIM (AD,AR);PCS (AR)
CAST	DERM (AR);OMIM (AR);PCS (AR)
CAT	METAB (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
CATSPER1	OMIM (AR);PCS (AR)
CAV1	DERM (AR);HART (AD);OMIM (AD,AR);PCS (AR)
CAV3	HART (AD);OMIM (AD);SPIER (AD)
CAVIN1	DERM (AR);IMMUUN (AR);OMIM (AR);PCS (AR);SPIER (AD)
CBL	DERM (AD);HEMOS (AD);LENGTE (AD);MR (AD);OMIM (UK,AD,AR,XL,YL);RAS (AD);TUMOR (AD)
CBLIF	METAB (AR);OMIM (AR);PCS (AR)
CBS	ANEURYSM (AD);DERM (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
CBX2	DSD (AR);OMIM (AR);PCS (AR)
CC2D1A	MR (AR);OMIM (AR);PCS (AR)
CC2D2A	BLIND (AR);CILIO (AR);LENGTE (AR);LEVER (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
CCBE1	DERM (AR);IMMUUN (AR);MR (AR);OMIM (AR);PCS (AR)
CCDC103	CILIO (AR);OMIM (AR);PCS (AR)
CCDC114	CILIO (AR);OMIM (AR);PCS (AR)
CCDC115	METAB (AR);MR (AR);OMIM (AR);PCS (AR)
CCDC141	HH (AD)
CCDC151	CILIO (AR);OMIM (AR);PCS (AR)
CCDC174	MR (AR);OMIM (AR);PCS (AR)
CCDC22	MR (XL);OMIM (XLR)
CCDC28B	CILIO (AR)
CCDC39	CILIO (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
CCDC40	CILIO (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
CCDC47	MR (AR);OMIM (AR)
CCDC50	DOOF (AD);OMIM (AD)
CCDC65	CILIO (AR);OMIM (AR);PCS (AR)
CCDC78	OMIM (AD);SPIER (AR)
CCDC8	LENGTE (AR);OMIM (AR);PCS (AR)
CCDC88A	MR (AR);OMIM (AR);PCS (AR)
CCDC88C	MR (AR);OMIM (AD,AR);PCS (AR)
CCL2	IJZER (AR,AD)
CCM2	OMIM (AD)
CCN6	LENGTE (AR);OMIM (AR);PCS (AR)
CCND2	MR (AD);OMIM (AD)
CCNK	MR (AD);OMIM (AD)
CCNO	CILIO (AR);OMIM (AR);PCS (AR)
CCNQ	DSD (XL);LENGTE (XL);NIER (AD);OMIM (XLD)
CCR5	ANEURYSM (AR)
CCT2	BLIND (AR)
CCT5	BEWEGING (AR);HMSN (AR);OMIM (AR);PCS (AR)
CD151	DERM (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
CD164	DOOF (AD);OMIM (AD)
CD19	IMMUUN (AR);OMIM (AR);PCS (AR)
CD247	IMMUUN (AR);OMIM (AR);PCS (AR);SCID (AR)
CD27	IMMUUN (AR);OMIM (AR);PCS (AR)
CD2AP	NIER (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
CD320	OMIM (UK,AD,AR,XL,YL);PCS (AR)
CD36	HEMOS (AR);OMIM (AR)
CD3D	IMMUUN (AR);OMIM (AR);PCS (AR);SCID (AR)
CD3E	IMMUUN (AR);OMIM (AR);PCS (AR);SCID (AR)
CD3G	IMMUUN (AR);OMIM (AR);PCS (AR);SCID (AR)
CD4	OMIM (UK,AD,AR,XL,YL)
CD40	IMMUUN (AR);OMIM (AR);PCS (AR)
CD40LG	IMMUUN (XL);OMIM (XLR)
CD46	HEMOS (AD,AR);IMMUUN (AD,AR);NIER (AD,AR)
CD55	IMMUUN (AR);OMIM (AR)
CD59	IMMUUN (AR);OMIM (AR);PCS (AR)
CD70	IMMUUN (AR);OMIM (AR)
CD79A	IMMUUN (AR);OMIM (AR);PCS (AR)
CD79B	IMMUUN (AR);OMIM (AR);PCS (AR)
CD81	IMMUUN (AR);OMIM (AR);PCS (AR)
CD8A	IMMUUN (AR);OMIM (AR);PCS (AR);SCID (AR)
CD96	OMIM (AD)
CDAN1	DERM (AR);IJZER (AR);OMIM (AR);PCS (AR)
CDC14A	DOOF (AR);OMIM (AR);PCS (AR)
CDC42	HEMOS (AD);LENGTE (AD);MR (AD);OMIM (AD)
CDC45	CFA (AR);LENGTE (AR);OMIM (AR);PCS (AR)
CDC6	LENGTE (AR);MR (AR);OMIM (AR);PCS (AR)
CDC73	LENGTE (AD);OMIM (AD);TUMOR (AD)
CDCA7	IMMUUN (AR);OMIM (AR);PCS (AR)
CDH1	BRSTKNK (AD);OMIM (AD);TUMOR (AD)
CDH11	MR (AR);OMIM (AR);PCS (AR)
CDH15	MR (AD);OMIM (UK,AD,AR,XL,YL)
CDH2	HART (AD)
CDH23	BLIND (AR);DOOF (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR);TUMOR (AD)
CDH3	BLIND (AR);DERM (AR);OMIM (AR);PCS (AR)
CDHR1	BLIND (AR);OMIM (AR);PCS (AR)
CDK10	BLIND (AR);MR (AR);OMIM (AR);PCS (AR)
CDK13	MR (AD);OMIM (AD)
CDK4	DERM (AD);TUMOR (AD)
CDK5	OMIM (AR);PCS (AR)
CDK5RAP2	MR (AR);OMIM (AR);PCS (AR)
CDK6	OMIM (AR);PCS (AR)
CDK8	MR (AD)
CDKL5	EPI (XL);MR (XLD);OMIM (XLD)
CDKN1A	TUMOR (AD)
CDKN1B	OMIM (AD);TUMOR (AD)
CDKN1C	LENGTE (AD);MR (AD);OMIM (AD);TUMOR (AD)
CDKN2A	ANEURYSM (AD);DERM (AD);OMIM (AD);TUMOR (AD)
CDKN2B	ANEURYSM (AD);IMMUUN (AD,AR);TUMOR (AD)
CDKN2B-AS1	ANEURYSM (AD)
CDKN2C	TUMOR (AD)
CDON	CFA (AD);MR (AD);OMIM (AD)
CDSN	CFA (AD,AR);DERM (AD/AR);OMIM (AD,AR);PCS (AR)
CDT1	LENGTE (AR);OMIM (AR);PCS (AR)
CEACAM16	DOOF (ADAR);OMIM (AD,AR)
CEBPA	OMIM (UK,AD,AR,XL,YL);TUMOR (AD)
CEBPE	IMMUUN (AR);OMIM (AR);PCS (AR)
CEL	METAB (AR);OMIM (AD)
CELA2A	OMIM (AD)
CELSR1	DERM (AD)
CENPE	LENGTE (AR);OMIM (AR);PCS (AR)
CENPF	CILIO (AR);MR (AR);OMIM (AR);PCS (AR)
CENPJ	MR (AR);OMIM (AR);PCS (AR)
CEP104	CILIO (AR);MR (AR);OMIM (AR);PCS (AR)
CEP120	CILIO (AR);LENGTE (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
CEP135	MR (AR);OMIM (AR);PCS (AR)
CEP152	LENGTE (AR);MR (AR);OMIM (AR);PCS (AR)
CEP164	BLIND (AR);CILIO (AR);NIER (AR);OMIM (AR);PCS (AR)
CEP19	OMIM (AR);PCS (AR)
CEP250	BLIND (AR);OMIM (AR)
CEP290	BLIND (AR);CILIO (AR);LENGTE (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
CEP41	BLIND (AR);CILIO (AR);DSD (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
CEP55	CILIO (AR);NIER (AR);OMIM (AR);PCS (AR)
CEP57	MR (AR);OMIM (AR);PCS (AR)
CEP63	OMIM (AR);PCS (AR)
CEP78	BLIND (AR);DOOF (AR);OMIM (AR);PCS (AR)
CEP83	BLIND (AR);CILIO (AR);LEVER (AR);MR (AR);NIER (AR);OMIM (AR);PCS (AR)
CEP89	MR (AR);OXPHOS (AR);PCS (AR)
CERKL	BLIND (AR);METAB (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
CERS1	OMIM (AR);PCS (AR)
CERS3	DERM (AR);METAB (AR);OMIM (AR);PCS (AR)
CERT1	EPI (AD);MR (AD);OMIM (AD)
CES1	OMIM (UK,AD,AR,XL,YL)
CETP	OMIM (AD)
CFAP298	CILIO (AR);OMIM (AR);PCS (AR)
CFAP300	CILIO (AR);OMIM (AR)
CFAP410	BLIND (AR);CILIO (AR);LENGTE (AR);OMIM (AR);PCS (AR)
CFAP43	OMIM (AR)
CFAP44	OMIM (AR)
CFAP53	CHD (AR);CILIO (AR);HART (AR);OMIM (AR);PCS (AR)
CFAP69	OMIM (AR)
CFB	HEMOS (AD);IMMUUN (AR);NIER (AD);OMIM (UK,AD,AR,XL,YL)
CFC1	CHD (AD);CILIO (AD);HART (AD);LEVER (AD);OMIM (AD)
CFD	IMMUUN (AR);OMIM (AR);PCS (AR)
CFH	BLIND (AD);HEMOS (AD,AR);IMMUUN (AD,AR);NIER (AD,AR);OMIM (AD,AR);PCS (AR)
CFHR1	HEMOS (AD,AR);IMMUUN (AR);NIER (AD,AR)
CFHR2	IMMUUN (AR)
CFHR3	HEMOS (AD,AR);IMMUUN (AR);NIER (AD,AR)
CFHR4	IMMUUN (AR)
CFHR5	IMMUUN (AD);OMIM (AD)
CFI	HEMOS (AD);IMMUUN (AR);NIER (AD);OMIM (AR);PCS (AR)
CFL2	OMIM (AR);PCS (AR);SPIER (AR)
CFP	IMMUUN (XL);OMIM (XLR)
CFTR	IMMUUN (AD,AR);LEVER (AR);METAB (AR);OMIM (AR);PCS (AR)
CHAMP1	MR (AD);OMIM (AD)
CHAT	AKI (AR);OMIM (AR);PCS (AR);SPIER (AR)
CHCHD10	ALS (AD);HMSN (AD);OMIM (AD);OXPHOS (AR);SPIER (AD)
CHCHD2	OMIM (AD);OXPHOS (AD);PARK (AD)
CHD1	MR (AD);OMIM (AD)
CHD2	EPI (AD);MR (AD);OMIM (AD)
CHD3	MR (AD);OMIM (AD)
CHD4	MR (AD);OMIM (AD)
CHD7	BLIND (AD);CFA (AD);CHD (AD);HART (AD);HH (AD);IMMUUN (AD);MR (AD);OMIM (AD)
CHD8	MR (AD)
CHEK2	BRSTKNK (AD,AR);OMIM (UK,AD,AR,XL,YL);TUMOR (AD,AR)
CHIT1	METAB (AR)
CHKB	DERM (AR);HART (AR);METAB (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR);SPIER (AR)
CHM	BLIND (XL);OMIM (XLD)
CHMP1A	BEWEGING (AR);MR (AR);OMIM (AR);PCS (AR)
CHMP2B	ALS (AD);OMIM (AD);PARK (AR)
CHMP4B	BLIND (AD);OMIM (AD)
CHN1	OMIM (UK,AD,AR,XL,YL)
CHP1	OMIM (AR)
CHRDL1	BLIND (XLR);OMIM (XLR)
CHRM2	HART (AD)
CHRM3	OMIM (AR);PCS (AR)
CHRNA1	AKI (AR);OMIM (AD,AR);PCS (AR);SPIER (AR)
CHRNA2	EPI (AD);OMIM (AD)
CHRNA4	EPI (AD);MR (AD);OMIM (AD)
CHRNB1	OMIM (AD,AR);PCS (AR);SPIER (AR)
CHRNB2	EPI (AD);OMIM (UK,AD,AR,XL,YL)
CHRND	AKI (AR);OMIM (AD,AR);PCS (AR);SPIER (AR)
CHRNE	AKI (AR);OMIM (AD,AR);PCS (AR);SPIER (AR)
CHRNG	AKI (AR);OMIM (AR);PCS (AR)
CHST11	OMIM (AR)
CHST14	AKI (AR);DERM (AR);HEMOS (AR);LENGTE (AR);METAB (AR);OMIM (AR);PCS (AR)
CHST3	LENGTE (AR);METAB (AR);OMIM (AR);PCS (AR)
CHST6	BLIND (AR);METAB (AR);OMIM (AR);PCS (AR)
CHST8	OMIM (AR);PCS (AR)
CHSY1	DERM (AR);LENGTE (AR);METAB (AR);OMIM (AR);PCS (AR)
CHUK	DERM (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
CIB1	DERM (AR);OMIM (AR)
CIB2	BLIND (AR);DOOF (AR);OMIM (AR);PCS (AR)
CIC	EPI (AD);MR (AD);OMIM (AD)
CIDEC	OMIM (AR);PCS (AR)
CIITA	IMMUUN (AR);OMIM (AR);PCS (AR);SCID (AR)
CILK1	EPI (AD);LENGTE (AR);OMIM (AR);PCS (AR)
CISD2	BLIND (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
CIT	MR (AR);OMIM (AR);PCS (AR)
CITED2	CHD (AD);HART (AD);OMIM (AD)
CKAP2L	DERM (AR);LENGTE (AR);MR (AR);OMIM (AR);PCS (AR)
CLCC1	BLIND (AR)
CLCF1	OMIM (AR);PCS (AR)
CLCN1	OMIM (AD,AR);PCS (AR);SPIER (AD,AR)
CLCN2	BEWEGING (AR);OMIM (AD,AR);PCS (AR)
CLCN4	BEWEGING (XL);EPI (XL);MR (XL);OMIM (XLD)
CLCN5	LENGTE (XLR);NIER (XLR);OMIM (XLR)
CLCN7	IMMUUN (AD,AR);LENGTE (AD,AR);METAB (AD);OMIM (AD,AR);PCS (AR)
CLCNKA	OMIM (UK,AD,AR,XL,YL)
CLCNKB	NIER (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
CLDN1	DERM (AR);LEVER (AR);OMIM (AR);PCS (AR)
CLDN10	DERM (AR);NIER (AR);OMIM (AR);PCS (AR)
CLDN14	DOOF (AR);OMIM (AR);PCS (AR)
CLDN16	EPI (AR);NIER (AR);OMIM (AR);PCS (AR)
CLDN19	EPI (AR);NIER (AR);OMIM (AR);PCS (AR)
CLEC4D	IMMUUN (AR)
CLEC7A	IMMUUN (AR);OMIM (AR)
CLIC2	MR (XL);OMIM (XLR)
CLIC5	DOOF (AR);OMIM (AR);PCS (AR)
CLIP1	MR (AR);PCS (AR)
CLMP	OMIM (AR);PCS (AR)
CLN3	BLIND (AR);EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
CLN5	BLIND (AR);EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
CLN6	BLIND (AR);EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
CLN8	BLIND (AR);EPI (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
CLP1	MR (AR);OMIM (AR);PCS (AR)
CLPB	BEWEGING (AR);IMMUUN (AR);METAB (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
CLPP	DOOF (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
CLPX	OMIM (AD)
CLRN1	BLIND (AR);DOOF (AR);OMIM (AR);PCS (AR)
CLTC	MR (AD);OMIM (AD)
CLUAP1	BLIND (AR)
CMAS	METAB (AR)
CNBP	OMIM (AD)
CNGA1	BLIND (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
CNGA3	BLIND (AR);OMIM (AR);PCS (AR)
CNGB1	BLIND (AR);OMIM (AR);PCS (AR)
CNGB3	BLIND (AR);OMIM (AR);PCS (AR)
CNKSR2	MR (XL);OMIM (XL)
CNNM2	ANEURYSM (AD);EPI (AD);MR (AD);NIER (AD);OMIM (AD,AR);PCS (AR)
CNNM4	BLIND (AR);DERM (AR);OMIM (AR);PCS (AR)
CNOT1	MR (AD);OMIM (AD)
CNOT2	MR (AD);OMIM (AD)
CNOT3	MR (AD)
CNPY3	MR (AR);OMIM (AR);PCS (AR)
CNTN1	OMIM (AR);PCS (AR);SPIER (AR)
CNTN2	EPI (AR);OMIM (AR);PCS (AR)
CNTN3	ANEURYSM (AD)
CNTNAP1	AKI (AR);HMSN (AR);OMIM (AR);PCS (AR)
CNTNAP2	EPI (AR);MR (AR);OMIM (AR);PCS (AR)
COA1	OXPHOS (AR)
COA3	OXPHOS (AR)
COA5	OMIM (AR);OXPHOS (AR);PCS (AR)
COA6	OMIM (AR);OXPHOS (AR);PCS (AR)
COA7	HMSN (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
COA8	BLIND (AR);DOOF (AR);EPI (AR);MR (AR);OMIM (UK,AD,AR,XL,YL);OXPHOS (AR);PCS (AR)
COASY	BEWEGING (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
COCH	DOOF (AD);OMIM (AD,AR)
COG1	LENGTE (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
COG2	METAB (AR);OMIM (AR);PCS (AR)
COG4	LENGTE (AD);METAB (AR);MR (AR);OMIM (AD,AR);PCS (AR)
COG5	METAB (AR);MR (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
COG6	METAB (AR);MR (AR);OMIM (AR);PCS (AR)
COG7	LEVER (AR);METAB (AR);MR (AR);OMIM (AR);PCS (AR)
COG8	METAB (AR);MR (AR);OMIM (UK,AD,AR,XL,YL);PCS (AR)
COL10A1	LENGTE (AD);OMIM (AD)
COL11A1	ANEURYSM (AR);BLIND (AD);CFA (AD,AR);DOOF (AD);LENGTE (AR,AD);OMIM (AD,AR);PCS (AR)
COL11A2	CFA (AD,AR);DOOF (AD,AR);LENGTE (AR,AD);OMIM (AD,AR);PCS (AR)
COL12A1	OMIM (AD);PCS (AR);SPIER (AD,AR)
COL13A1	OMIM (AR);PCS (AR);SPIER (AR)
COL14A1	DERM (AD)
COL17A1	DERM (AR);OMIM (AD,AR);PCS (AR)
COL18A1	BLIND (AR);OMIM (AR);PCS (AR)
COL1A1	ANEURYSM (AD);HEMOS (AD);LENGTE (AD);OMIM (AD)
COL1A2	ANEURYSM (AD);DERM (AR);LENGTE (AR,AD);OMIM (AD,AR);PCS (AR)
COL25A1	BLIND (AR);OMIM (AR);PCS (AR)
COL27A1	LENGTE (AR);OMIM (AR);PCS (AR)
COL2A1	ANEURYSM (AD);BLIND (AD);CFA (AD);DOOF (AR,AD);LENGTE (AD,AR);OMIM (AD)
COL3A1	ANEURYSM (AD);DERM (AD);HART (AD);HEMOS (AD);OMIM (AD,AR)
COL4A1	ANEURYSM (AD);BEWEGING (AD);EPI (AD);MR (AD);NIER (AD);OMIM (AD)
COL4A2	ANEURYSM (AD);MR (AD);OMIM (AD)
COL4A3	ANEURYSM (AR);DOOF (AD,AR);NIER (AD,AR);OMIM (AD,AR);PCS (AR)
COL4A4	ANEURYSM (AR);DOOF (AR);NIER (AR);OMIM (AD,AR);PCS (AR)
COL4A5	ANEURYSM (XLD);DOOF (XL);NIER (XLR);OMIM (XLD)
COL4A6	DOOF (XL);OMIM (XLR)
COL5A1	ANEURYSM (AD);DERM (AD);HEMOS (AD);OMIM (AD)
COL5A2	ANEURYSM (AD);DERM (AD);HEMOS (AD);OMIM (AD)
COL6A1	AKI (AD,AR);BEWEGING (AD,AR);OMIM (AD,AR);PCS (AR);SPIER (AD,AR)
COL6A2	AKI (AD,AR);BEWEGING (AD,AR);OMIM (AD,AR);PCS (AR);SPIER (AD,AR)
COL6A3	AKI (AD,AR);BEWEGING (AD,AR);OMIM (AD,AR);PCS (AR);SPIER (AD,AR)
COL7A1	ANEURYSM (AD);DERM (AD/AR);OMIM (AD,AR);PCS (AR)
COL8A2	BLIND (AD);OMIM (AD)
COL9A1	BLIND (AR);CFA (AD);DOOF (AR);LENGTE (AD,AR);OMIM (AD);PCS (AR)
COL9A2	BLIND (AR);CFA (AD,AR);DOOF (AR);LENGTE (AR,AD);OMIM (AD,AR);PCS (AR)
COL9A3	CFA (AD);LENGTE (AD);OMIM (AD)
COLEC10	OMIM (AR);PCS (AR)
COLEC11	IMMUUN (AR);LENGTE (AR);MR (AR);OMIM (AR);PCS (AR)
COLGALT1	EPI (AR);OMIM (AR)
COLQ	OMIM (AR);PCS (AR);SPIER (AR)
COMP	LENGTE (AD);OMIM (AD)
COMT	METAB (AR)
COPA	IMMUUN (AD)
COPB2	OMIM (AR);PCS (AR)
COQ2	BEWEGING (AR);EPI (AR);HART (AR);METAB (AR);MR (AR);NIER (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
COQ4	BEWEGING (AR);EPI (AR);METAB (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
COQ5	METAB (AR);OXPHOS (AR)
COQ6	METAB (AR);NIER (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
COQ7	METAB (AR);NIER (AR);OMIM (AR);OXPHOS (AR);PCS (AR)
